poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,days until election,stage,nationwide_batch,ranked_choice_reallocated,party,answer,state 2,candidate_id,candidate_name,pct,two party percentage,actual two party percentage ,error
55972,1193,SurveyMonkey,132,NBC News,SurveyMonkey,324,SurveyMonkey,C,Online,Alabama,9/9/2018,9/24/2018,,,,89697,1254,rv,,rv,,10/2/2018 9:31,http://media1.s-nbcnews.com/i/today/z_creative/NBCNewsSurveyMonkeyAlabamaStatePollToplinesMethodology102.pdf,538,FALSE,,131,2018,Governor,0,,11/6/2018,43,general,FALSE,FALSE,DEM,Maddox,Alabama,11260,Walter Maddox,26,0.337662338,0.404,0.066337662
55896,1449,Research Consultants,1060,Farm PAC,Research Consultants,491,Research Consultants,,,Alabama,9/22/2018,9/22/2018,,,,89567,316,lv,,lv,,9/27/2018 10:49,http://www.aldailynews.com/new-poll-shows-republicans-winning-six-weeks-out/,538,FALSE,REP,131,2018,Governor,0,,11/6/2018,45,general,FALSE,FALSE,DEM,Maddox,Alabama,11260,Walter Maddox,38,0.395833333,0.404,0.008166667
53451,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR,Alabama,7/24/2018,7/25/2018,,,,84611,1027,lv,,lv,,7/31/2018 10:35,http://www.cygn.al/alabama-republicans-expected-to-cruise-to-victory-in-november/,538,FALSE,,131,2018,Governor,0,,11/6/2018,104,general,FALSE,FALSE,DEM,Maddox,Alabama,11260,Walter Maddox,42,0.428571429,0.404,-0.024571429
52802,1412,Atlantic Media and Research,,,Atlantic Media and Research,227,Neighborhood Research and Media,B/C,,Alabama,6/12/2018,6/21/2018,,,,83445,440,lv,,lv,,7/9/2018 16:01,http://www.alreporter.com/2018/07/06/poll-shows-parker-leading-vance-by-sizable-margin/,538,FALSE,,131,2018,Governor,0,,11/6/2018,138,general,FALSE,FALSE,DEM,Maddox,Alabama,11260,Walter Maddox,28,0.345679012,0.404,0.058320988
56603,1334,Alaska Survey Research,,,Alaska Survey Research,155,Alaska Survey Research,B/C,Live Phone,Alaska,10/26/2018,10/29/2018,,,,91131,500,lv,,lv,,10/31/2018 13:43,https://drive.google.com/file/d/1N613L3f2dje4pXkE28LOBx7ouJHZHJeC/view,538,FALSE,,132,2018,Governor,0,,11/6/2018,8,general,FALSE,FALSE,DEM,Begich,Alaska,12443,Mark Begich,42.3,0.498820755,0.463,-0.035820755
56391,1334,Alaska Survey Research,,,Alaska Survey Research,155,Alaska Survey Research,B/C,Live Phone,Alaska,10/19/2018,10/22/2018,,,,90650,500,lv,,lv,,10/23/2018 16:19,https://drive.google.com/file/d/1yboUzzSFlryixWiDejHXD-MNWBWQ9n2j/view,538,FALSE,,132,2018,Governor,0,,11/6/2018,15,general,FALSE,FALSE,DEM,Begich,Alaska,12443,Mark Begich,43.7,0.475,0.463,-0.012
56250,1334,Alaska Survey Research,,,Alaska Survey Research,155,Alaska Survey Research,B/C,,Alaska,10/12/2018,10/14/2018,,,,90344,500,lv,,lv,,10/16/2018 18:04,https://www.facebook.com/alaskasurvey/posts/1152263471592951,538,FALSE,,132,2018,Governor,0,,11/6/2018,23,general,FALSE,FALSE,DEM,Begich,Alaska,12443,Mark Begich,26.4,0.378223496,0.463,0.084776504
56250,1334,Alaska Survey Research,,,Alaska Survey Research,155,Alaska Survey Research,B/C,,Alaska,10/12/2018,10/14/2018,,,,90524,500,lv,,lv,,10/19/2018 19:06,https://www.facebook.com/alaskasurvey/posts/1152263471592951,538,FALSE,,132,2018,Governor,0,,11/6/2018,23,general,FALSE,FALSE,DEM,Begich,Alaska,12443,Mark Begich,44.8,0.464248705,0.463,-0.001248705
56186,383,PPP,1090,The Great Slate,Public Policy Polling,263,Public Policy Polling,A-,,Alaska,10/11/2018,10/12/2018,,,,90222,645,v,,v,,10/12/2018 18:56,https://drive.google.com/file/d/1FORloCfXgvaOWcZ80NOdldgrmV9QdJZO/view,538,FALSE,DEM,132,2018,Governor,0,,11/6/2018,25,general,FALSE,FALSE,DEM,Begich,Alaska,12443,Mark Begich,23,0.348484848,0.463,0.114515152
55923,1334,Alaska Survey Research,,,Alaska Survey Research,155,Alaska Survey Research,B/C,Live Phone,Alaska,10/1/2018,10/6/2018,,,,89608,500,lv,,lv,,9/28/2018 14:35,https://drive.google.com/file/d/12pOY1vf-TpJuhRbhPEaMsO6zX_cPFTZ4/view,538,FALSE,,132,2018,Governor,0,,11/6/2018,31,general,FALSE,FALSE,DEM,Begich,Alaska,12443,Mark Begich,29,0.395095368,0.463,0.067904632
